날짜,삼성전자,삼성전자우,SK하이닉스
2026-08-14,274500.0,195600.0,1645000.0
2026-08-18,268500.0,188300.0,1662000.0
2026-08-19,247500.0,173700.0,1500000.0
2026-08-20,271000.0,191200.0,1691000.0
2026-08-21,281500.0,207000.0,1730000.0
2026-08-24,257000.0,189300.0,1671000.0
2026-08-25,257000.0,194500.0,1678000.0
2026-08-26,261500.0,196800.0,1688000.0
2026-08-27,266000.0,194300.0,1730000.0
2026-08-28,257000.0,186800.0,1653000.0
2026-08-31,260000.0,186500.0,1674000.0
2026-09-01,261000.0,190300.0,1693000.0
2026-09-02,250500.0,185500.0,1613000.0
2026-09-03,250000.0,184100.0,1596000.0
2026-09-04,254750.0,188400.0,1643000.0
