종목코드,배당수익률,배당기준월,조회일
000100,0.73,2026.02,2026-09-01
000120,1.1,2026.03,2026-09-01
000210,0.0,,2026-09-01
000640,1.76,2026.03,2026-09-01
001040,2.52,2026.03,2026-09-01
001440,0.0,,2026-09-01
001630,3.56,2026.03,2026-09-01
002200,2.96,2025.12,2026-09-01
002310,2.96,2025.12,2026-09-01
002390,2.1,2026.02,2026-09-01
002840,1.77,2025.12,2026-09-01
003490,2.66,2026.03,2026-09-01
003540,4.46,2026.03,2026-09-01
003830,0.65,2026.03,2026-09-01
003960,0.81,2025.12,2026-09-01
004370,1.36,2026.03,2026-09-01
004590,4.11,2025.12,2026-09-01
004910,5.63,2025.12,2026-09-01
005090,2.52,2025.12,2026-09-01
005180,3.55,2026.03,2026-09-01
005290,1.56,2025.12,2026-09-01
005300,3.44,2026.03,2026-09-01
005430,1.24,2025.12,2026-09-01
005610,2.43,2026.03,2026-09-01
005740,2.3,2025.12,2026-09-01
005850,5.29,2026.03,2026-09-01
005930,0.64,2025.12,2026-09-01
006060,8.21,2025.12,2026-09-01
006260,0.82,2026.03,2026-09-01
006400,0.0,,2026-09-01
007070,2.3,2026.02,2026-09-01
007160,0.39,2025.12,2026-09-01
007210,2.08,2026.03,2026-09-01
007540,0.46,2025.12,2026-09-01
008260,2.85,2025.12,2026-09-01
008490,2.25,2025.12,2026-09-01
009240,0.0,,2026-09-01
009290,1.58,2026.04,2026-09-01
009410,0.0,,2026-09-01
009780,1.77,2025.12,2026-09-01
009970,3.94,2026.04,2026-09-01
010060,0.38,2025.12,2026-09-01
010140,0.0,,2026-09-01
013580,3.35,2026.02,2026-09-01
014280,2.86,2025.12,2026-09-01
014620,0.66,2025.12,2026-09-01
016590,2.14,2025.12,2026-09-01
017670,1.78,2025.05,2026-09-01
017810,1.03,2026.04,2026-09-01
017940,4.62,2026.04,2026-09-01
018310,2.18,2025.12,2026-09-01
018670,3.85,2026.03,2026-09-01
019210,1.4,2025.12,2026-09-01
023160,2.12,2025.12,2026-09-01
023590,4.64,2026.03,2026-09-01
023600,2.2,2025.12,2026-09-01
023910,3.71,2025.12,2026-09-01
025540,5.77,2025.12,2026-09-01
026960,4.46,2025.12,2026-09-01
029460,1.12,2026.02,2026-09-01
029530,2.44,2025.12,2026-09-01
030530,0.0,,2026-09-01
031430,3.72,2026.03,2026-09-01
032190,2.73,2025.12,2026-09-01
032500,0.0,,2026-09-01
033270,3.38,2025.12,2026-09-01
034120,2.71,2026.03,2026-09-01
034230,1.49,2025.12,2026-09-01
034730,1.39,2026.04,2026-09-01
035420,1.22,2026.02,2026-09-01
035720,0.2,2026.03,2026-09-01
035900,2.21,2026.03,2026-09-01
036570,0.51,2026.03,2026-09-01
036670,4.84,2025.12,2026-09-01
038010,2.2,2025.12,2026-09-01
041830,1.03,2026.03,2026-09-01
043150,1.58,2025.12,2026-09-01
044340,2.99,2025.12,2026-09-01
044450,4.56,2025.12,2026-09-01
049430,3.36,2025.12,2026-09-01
051500,2.07,2026.04,2026-09-01
054950,2.69,2025.12,2026-09-01
058650,3.11,2026.03,2026-09-01
063570,4.03,2026.03,2026-09-01
066620,1.91,2025.12,2026-09-01
068790,3.5,2025.12,2026-09-01
069260,6.1,2026.02,2026-09-01
069960,2.25,2026.04,2026-09-01
074600,0.5,2025.12,2026-09-01
075580,2.2,2026.03,2026-09-01
079430,2.16,2026.04,2026-09-01
081660,4.75,2026.03,2026-09-01
082920,0.99,2025.12,2026-09-01
083310,0.0,,2026-09-01
086790,3.01,2026.02,2026-09-01
090430,0.85,2026.03,2026-09-01
090850,4.41,2026.04,2026-09-01
092730,3.09,2025.12,2026-09-01
093520,4.49,2025.12,2026-09-01
095570,7.47,2026.02,2026-09-01
097950,3.23,2026.02,2026-09-01
099190,0.57,2025.12,2026-09-01
101160,0.34,2025.12,2026-09-01
101530,4.44,2025.12,2026-09-01
103840,0.0,,2026-09-01
105630,6.64,2026.03,2026-09-01
105740,3.8,2025.12,2026-09-01
111770,2.83,2025.12,2026-09-01
112610,2.09,2025.12,2026-09-01
120110,2.23,2026.03,2026-09-01
121440,3.14,2025.12,2026-09-01
122640,0.0,,2026-09-01
122870,0.72,2025.12,2026-09-01
123890,5.66,2026.03,2026-09-01
127120,0.0,,2026-09-01
136480,1.5,2025.12,2026-09-01
136490,1.97,2025.12,2026-09-01
138040,1.09,2025.02,2026-09-01
139480,3.39,2026.04,2026-09-01
143160,2.47,2025.12,2026-09-01
161890,0.57,2026.03,2026-09-01
174900,0.0,,2026-09-01
178320,0.0,,2026-09-01
185750,0.73,2025.12,2026-09-01
192820,1.14,2026.03,2026-09-01
194700,3.55,2025.12,2026-09-01
195940,0.94,2026.03,2026-09-01
204270,0.0,,2026-09-01
207940,0.0,,2026-09-01
208140,8.73,2026.03,2026-09-01
214450,0.89,2025.12,2026-09-01
215000,11.2,2025.12,2026-09-01
222800,0.08,2025.12,2026-09-01
226400,0.0,,2026-09-01
232680,2.16,2025.12,2026-09-01
234080,4.83,2026.04,2026-09-01
237690,0.49,2026.03,2026-09-01
248170,0.85,2025.12,2026-09-01
257720,0.59,2026.03,2026-09-01
260930,4.11,2025.12,2026-09-01
260970,3.19,2025.12,2026-09-01
264900,3.45,2025.12,2026-09-01
267980,3.77,2026.03,2026-09-01
271560,2.7,2026.03,2026-09-01
272450,0.0,,2026-09-01
272550,5.08,2025.12,2026-09-01
280360,2.24,2026.03,2026-09-01
284740,5.11,2025.12,2026-09-01
287840,0.0,,2026-09-01
290650,0.09,2025.12,2026-09-01
293490,0.0,,2026-09-01
294870,3.04,2026.03,2026-09-01
298540,7.25,2025.12,2026-09-01
300720,5.87,2025.12,2026-09-01
308430,0.0,,2026-09-01
316140,3.98,2026.02,2026-09-01
322310,0.0,,2026-09-01
323410,2.11,2026.02,2026-09-01
344820,6.4,2026.02,2026-09-01
352480,0.0,,2026-09-01
363280,0.0,,2026-09-01
37550K,3.81,2026.03,2026-09-01
383220,3.98,2025.12,2026-09-01
418470,5.57,2026.02,2026-09-01
439090,0.0,,2026-09-01
450950,2.04,2025.12,2026-09-01
456040,0.0,,2026-09-01
460860,3.87,2026.03,2026-09-01
475960,0.0,,2026-09-01
478560,9.79,2026.02,2026-09-01
950160,0.0,,2026-09-01
