종목명,종목코드,섹터,수량,평단가,현재가,등락률,업데이트시각
CJ대한통운,000120,기타,2.0,75450.0,71200.0,0.28,09/17 14:53
카카오뱅크,323410,금융,6.0,21716.666666666668,20650.0,-0.72,09/17 14:53
미스토홀딩스,081660,기타2,4.0,41954.16666666667,38950.0,-0.89,09/17 14:53
오스테오닉,226400,의료기기,27.0,4576.518518518519,4250.0,0.71,09/17 14:53
JW생명과학,234080,제약,4.0,11232.5,10970.0,0.09,09/17 14:53
한국단자,025540,전기전자,3.0,62066.66666666666,56500.0,0.36,09/17 14:53
아이센스,099190,의료기기,5.0,17792.0,15850.0,-0.38,09/17 14:53
JYP Ent.,035900,기타2,6.0,43466.66666666666,38600.0,-0.26,09/17 14:53
영원무역,111770,의류,3.0,79483.33333333333,72100.0,0.0,09/17 14:53
CJ제일제당,097950,식품,3.0,191366.66666666663,176600.0,-0.06,09/17 14:53
신세계인터내셔날,031430,기타2,18.0,10983.333333333334,10560.0,1.05,09/17 14:53
삼양패키징,272550,기타,15.0,9824.666666666666,9680.0,-1.63,09/17 14:53
서흥,008490,제약,17.0,23905.882352941175,20200.0,-0.49,09/17 14:53
유한양행,000100,제약,1.0,86900.0,77500.0,0.26,09/17 14:53
한샘,009240,기타2,2.0,42300.0,38900.0,-0.13,09/17 14:53
사조대림,003960,식품,5.0,31710.0,27900.0,0.54,09/17 14:53
종근당,185750,제약,2.0,71600.0,65300.0,-0.46,09/17 14:53
이마트,139480,기타,1.0,80800.0,73100.0,-0.27,09/17 14:53
GS리테일,007070,기타,6.0,26291.666666666668,23800.0,-1.04,09/17 14:53
더네이쳐홀딩스,298540,의류,16.0,6667.5,6600.0,-1.49,09/17 14:53
해태제과식품,101530,식품,11.0,5670.909090909091,5530.0,0.0,09/17 14:53
AJ네트웍스,095570,렌탈,19.0,4405.263157894737,4100.0,-0.85,09/17 14:53
오리온,271560,식품,2.0,126400.0,113500.0,1.89,09/17 14:53
KCC글라스,344820,건설,4.0,24700.0,24400.0,-0.61,09/17 14:53
대한화섬,003830,의류,1.0,117900.0,114100.0,0.0,09/17 14:53
와이지-원,019210,기타,11.0,14434.545454545452,13100.0,-0.76,09/17 14:53
동서,026960,기타2,3.0,25766.666666666668,25500.0,0.79,09/17 14:53
노바렉스,194700,식품,9.0,11610.0,10160.0,0.49,09/17 14:53
매일유업,267980,식품,2.0,34875.0,33950.0,-0.29,09/17 14:53
마녀공장,439090,기타2,5.0,16254.0,15830.0,-0.13,09/17 14:53
아스테라시스,450950,의료기기,15.0,5418.0,5180.0,0.0,09/17 14:53
계룡건설,013580,기타2,3.0,22850.0,23000.0,1.1,09/17 14:53
코오롱티슈진,950160,바이오,9.0,19397.777777777777,16310.0,2.71,09/17 14:53
