종목명,종목코드
AJ네트웍스,095570
CJ,001040
CJ대한통운,000120
CJ제일제당,097950
DL이앤씨,375500
ESR켄달스퀘어리츠,365550
GS건설,006360
GS리테일,007070
HK이노엔,195940
JW생명과학,234080
JYP Ent.,035900
KCC글라스,344820
NAVER,035420
SGC에너지,005090
SK텔레콤,017670
계룡건설,013580
골프존,215000
네오팜,092730
노바렉스,194700
대한항공,003490
대한화섬,003830
더네이쳐홀딩스,298540
동국제강,460860
동서,026960
동진쎄미켐,005290
두산에너빌리티,034020
라온로보틱스,232680
마녀공장,439090
매일유업,267980
매커스,093520
메리츠금융지주,138040
미스토홀딩스,081660
비츠로셀,082920
사조대림,003960
삼립,005610
삼성전자,005930
삼성중공업,010140
삼양패키징,272550
서진시스템,178320
서흥,008490
선진,136490
성광벤드,014620
세진중공업,075580
신세계인터내셔날,031430
실리콘투,257720
심텍,222800
씨앤씨인터내셔널,352480
아세아제지,002310
아스테라시스,450950
아이센스,099190
앱클론,174900
에스엘,005850
영원무역,111770
오리온,271560
오스테오닉,226400
와이지-원,019210
우리금융지주,316140
원익QnC,074600
유한양행,000100
율촌화학,008730
이마트,139480
인바디,041830
종근당,185750
진에어,272450
카카오뱅크,323410
케이엠더블유,032500
코메론,049430
코오롱티슈진,950160
크라운해태홀딩스,005740
태광,023160
풀무원,017810
하림,136480
한국가구,004590
한국가스공사,036460
한국단자,025540
한샘,009240
한세실업,105630
한일시멘트,300720
한화시스템,272210
해태제과식품,101530
현대리바트,079430
화승코퍼레이션,013520
