종목명,시장
AJ네트웍스,KOSPI
CJ,KOSPI
CJ대한통운,KOSPI
CJ제일제당,KOSPI
GS건설,KOSPI
GS리테일,KOSPI
JW생명과학,KOSPI
JYP Ent.,KOSDAQ
KCC글라스,KOSPI
NAVER,KOSPI
OCI홀딩스,KOSPI
SGC에너지,KOSPI
SK텔레콤,KOSPI
계룡건설,KOSPI
골프존,KOSDAQ
광동제약,KOSPI
노바렉스,KOSDAQ
대상,KOSPI
대신증권,KOSPI
대한항공,KOSPI
대한화섬,KOSPI
더네이쳐홀딩스,KOSDAQ
동국제강,KOSPI
동서,KOSPI
동아쏘시오홀딩스,KOSPI
동진쎄미켐,KOSDAQ
두산에너빌리티,KOSPI
라온로보틱스,KOSDAQ
롯데쇼핑,KOSPI
마녀공장,KOSDAQ
매일유업,KOSDAQ
메리츠금융지주,KOSPI
미스토홀딩스,KOSPI
비츠로셀,KOSDAQ
사조대림,KOSPI
삼립,KOSPI
삼성전자,KOSPI
삼성중공업,KOSPI
삼양패키징,KOSPI
서진시스템,KOSDAQ
서흥,KOSPI
선진,KOSPI
세진중공업,KOSPI
신도리코,KOSPI
신세계인터내셔날,KOSPI
씨앤씨인터내셔널,KOSDAQ
아스테라시스,KOSDAQ
아이센스,KOSDAQ
앱클론,KOSDAQ
에스엘,KOSPI
영원무역,KOSPI
오리온,KOSPI
오스테오닉,KOSDAQ
와이지-원,KOSDAQ
원익QnC,KOSDAQ
원익홀딩스,KOSDAQ
유한양행,KOSPI
이마트,KOSPI
인바디,KOSDAQ
종근당,KOSPI
진에어,KOSPI
카카오뱅크,KOSPI
카페24,KOSDAQ
코메론,KOSDAQ
코오롱티슈진,KOSDAQ
크라운해태홀딩스,KOSPI
태광,KOSDAQ
파라다이스,KOSPI
풀무원,KOSPI
하림,KOSDAQ
한국가구,KOSDAQ
한국단자,KOSPI
한샘,KOSPI
한세실업,KOSPI
해태제과식품,KOSPI
현대백화점,KOSPI
