종목명,섹터
AJ네트웍스,렌탈
CJ,기타2
CJ대한통운,기타
CJ제일제당,식품
CJ프레시웨이,식품
DL,화학
DL이앤씨,기타2
DL이앤씨우,건설
DMS,반도체
E1,에너지
ESR켄달스퀘어리츠,기타
F&F,의류
GS건설,기타2
GS리테일,기타
HK이노엔,바이오
HMM,기타2
IPARK현대산업개발,건설
JW생명과학,제약
JYP Ent.,기타2
KCC글라스,건설
KSS해운,해운
KT밀리의서재,렌탈
LS,전기전자
NAVER,인터넷
NC,게임
NICE인프라,기타
NI스틸,건설
OCI,화학
OCI홀딩스,화학
SBS,엔터
SGC에너지,에너지
SK,에너지
SK가스,에너지
SK텔레콤,통신
TKG휴켐스,화학
계룡건설,기타2
골프존,레저
골프존홀딩스,레저
광동제약,기타2
국보디자인,건설
금강공업,건설
네오팜,화장품
노바렉스,식품
농심,식품
다우기술,금융
다우데이타,금융
대상,기타2
대신증권,금융
대하화섬,기타2
대한약품,제약
대한전선,전기전자
대한항공,레저
대한화섬,의류
더네이쳐홀딩스,의류
동국제강,기타2
동서,기타2
동아쏘시오홀딩스,제약
동진쎄미켐,반도체
두산에너빌리티,기타2
디케이락,조선
라온로보틱스,로봇
롯데쇼핑,기타2
롯데웰푸드,식품
롯데칠성,식품
마녀공장,기타2
매일유업,식품
매커스,반도체
메리츠금융지주,기타2
미스토홀딩스,기타2
미원상사,화학
바텍,의료기기
벽산,건설
블랙야크아이앤씨,의류
비츠로셀,전기전자
빙그레,식품
사조대림,식품
사조산업,식품
삼립,식품
삼목에스폼,건설
삼보판지,포장재
삼성SDI,이차전지
삼성바이오로직스,바이오
삼성전자,기타2
삼성중공업,기타2
삼양케이씨아이,화학
삼양패키징,기타
삼화콘덴서,기타2
샘표,식품
샘표식품,식품
서진시스템,전기전자
서흥,제약
선진,식품
성광벤드,조선
세아홀딩스,금속철강
세진중공업,조선
셀비온,바이오
신대양제지,기타
신도리코,기타2
신세계인터내셔날,기타2
실리콘투,화장품
심텍,반도체
씨앤씨인터내셔널,기타2
씨에스윈드,에너지
씨티케이,화장품
아모레퍼시픽,화장품
아세아제지,기타
아스테라시스,의료기기
아이디스,전기전자
아이센스,의료기기
앱클론,바이오
에스앤디,식품
에스엘,자동차
에스티팜,바이오
에코플라스틱,기타2
엘앤씨바이오,바이오
엘오티베큠,반도체
엠에스씨,식품
영원무역,의류
영원무역홀딩스,의류
예스티,반도체
오로스테크놀로지,반도체
오리온,식품
오스테오닉,의료기기
와이지-원,기타
와이지엔터테인먼트,엔터
우리금융지주,금융
우양,식품
원익QnC,반도체
원익홀딩스,기타2
월덱스,반도체
위닉스,전기전자
유나이티드제약,제약
유한양행,제약
율촌화학,기타2
이구산업,기타2
이마트,기타
인바디,의료기기
인투셀,바이오
정다운,식품
제이브이엠,의료기기
제이앤티씨,전기전자
제이에스링크,의료기기
제일테크노스,조선
조광페인트,건설
종근당,제약
종근당홀딩스,제약
진에어,레저
카카오,인터넷
카카오게임즈,게임
카카오뱅크,금융
카페24,기타2
컴투스홀딩스,기타2
케이씨,반도체
케이엠더블유,통신
코메론,기타
코스맥스,화장품
코오롱인더,화학
코오롱티슈진,바이오
쿠쿠홈시스,렌탈
크라운제과,식품
크라운해태홀딩스,기타2
태광,금속철강
태영건설,건설
테크윙,기타2
토모큐브,의료기기
티와이홀딩스,레저
파라다이스,레저
파마리서치,미용
풀무원,기타2
풍산홀딩스,기타2
필옵틱스,기타2
하나금융지주,금융
하림,기타2
한국가구,건설
한국가스공사,기타2
한국공항,레저
한국단자,전기전자
한국수출포장,포장재
한국자산신탁,건설
한국콜마,화장품
한독,제약
한샘,기타2
한세실업,의류
한일시멘트,건설
한켐,기타2
한화시스템,기타2
해태제과식품,식품
현대리바트,건설
현대백화점,레저
현대이지웰,기타
화승인더,의류
화승코퍼레이션,기타2
