id,날짜,종목명,구분,수량,단가,실현손익,메모,정산반영
d44ebf6a,2026-08-03,서흥,매수,1.0,21400.0,,초기 히스토리,True
f3b6357a,2026-08-03,NAVER,매수,1.0,205500.0,,초기 히스토리,True
e72b9569,2026-08-03,삼립,매수,1.0,39750.0,,초기 히스토리,True
f22e687b,2026-08-04,대하화섬,매수,4.0,25850.0,,초기 히스토리,True
2f8d6a06,2026-08-04,대한항공,매수,4.0,25850.0,,초기 히스토리,True
021654e6,2026-08-04,CJ제일제당,매수,1.0,193900.0,,초기 히스토리,True
50dd0510,2026-08-04,GS리테일,매수,2.0,24400.0,,초기 히스토리,True
ba990cf0,2026-08-04,GS리테일,매수,3.0,24400.0,,초기 히스토리,True
a120c088,2026-08-04,KCC글라스,매수,5.0,22650.0,,초기 히스토리,True
61a39fe0,2026-08-04,NAVER,매도,1.0,226000.0,20048.0,초기 히스토리,True
6c16f01c,2026-08-04,동서,매수,1.0,25200.0,,초기 히스토리,True
140f0dbe,2026-08-04,동서,매수,1.0,25200.0,,초기 히스토리,True
17194c41,2026-08-04,동서,매수,1.0,25200.0,,초기 히스토리,True
2accdc89,2026-08-04,동서,매수,1.0,25200.0,,초기 히스토리,True
95d233a3,2026-08-04,동서,매수,1.0,25200.0,,초기 히스토리,True
fa0dda23,2026-08-04,아세아제지,매수,10.0,7370.0,,초기 히스토리,True
bb844f3f,2026-08-04,우리금융지주,매수,3.0,33150.0,,초기 히스토리,True
635ac755,2026-08-04,대한화섬,매수,1.0,110500.0,,초기 히스토리,True
3f2318b0,2026-08-04,코스맥스,매수,1.0,195600.0,,초기 히스토리,True
ef288b9f,2026-08-04,롯데웰푸드,매수,1.0,101800.0,,초기 히스토리,True
8f053404,2026-08-04,CJ대한통운,매수,1.0,75500.0,,초기 히스토리,True
0db2a39c,2026-08-04,한일시멘트,매수,1.0,14030.0,,초기 히스토리,True
07906528,2026-08-04,삼성중공업,매수,5.0,21250.0,,초기 히스토리,True
27058f4d,2026-08-04,두산에너빌리티,매수,1.0,71200.0,,초기 히스토리,True
efc32aa4,2026-08-04,HK이노엔,매수,1.0,38900.0,,초기 히스토리,True
da76daa2,2026-08-04,HK이노엔,매수,1.0,38900.0,,초기 히스토리,True
fe58b329,2026-08-04,AJ네트웍스,매수,20.0,4165.0,,초기 히스토리,True
0e055db8,2026-08-04,한국가스공사,매수,2.0,34600.0,,초기 히스토리,True
6743db5d,2026-08-04,카카오뱅크,매수,5.0,21750.0,,초기 히스토리,True
3b89148d,2026-08-04,한일시멘트,매수,6.0,14030.0,,초기 히스토리,True
e51934a5,2026-08-04,미스토홀딩스,매수,2.0,44050.0,,초기 히스토리,True
786f0af7,2026-08-04,오스테오닉,매수,15.0,4950.0,,초기 히스토리,True
9f923185,2026-08-05,대하화섬,매도,1.0,27050.0,1145.9,초기 히스토리,True
07a50d32,2026-08-05,대한항공,매도,1.0,27050.0,1145.9,초기 히스토리,True
d4b78e55,2026-08-05,DL이앤씨,매수,1.0,69700.0,,초기 히스토리,True
40088786,2026-08-05,JW생명과학,매수,3.0,11290.0,,초기 히스토리,True
d1866123,2026-08-05,JW생명과학,매수,4.0,11290.0,,초기 히스토리,True
0a57ea3d,2026-08-05,JW생명과학,매수,3.0,11290.0,,초기 히스토리,True
e03514e7,2026-08-05,두산에너빌리티,매도,1.0,76400.0,5047.2,초기 히스토리,True
9625ccc6,2026-08-05,동진쎄미켐,매수,1.0,41800.0,,초기 히스토리,True
f6b4b8b2,2026-08-05,엘오티베큠,매수,5.0,8500.0,,초기 히스토리,True
686de74c,2026-08-05,월덱스,매수,2.0,29300.0,,초기 히스토리,True
e60c7cf8,2026-08-07,GS리테일,매도,1.0,28400.0,3943.2,초기 히스토리,True
c8d2424c,2026-08-07,서흥,매도,1.0,23500.0,2053.0,초기 히스토리,True
a774d6b0,2026-08-07,KCC글라스,매도,2.0,24300.0,3202.8,초기 히스토리,True
9c46758e,2026-08-07,성광벤드,매수,3.0,26100.0,,초기 히스토리,True
9e242717,2026-08-07,한국단자,매수,2.0,62600.0,,초기 히스토리,True
6720b493,2026-08-07,원익홀딩스,매수,2.0,18450.0,,초기 히스토리,True
676c9345,2026-08-07,원익홀딩스,매수,3.0,18390.0,,초기 히스토리,True
1f19c69e,2026-08-07,GS리테일,매도,1.0,28350.0,3893.3,초기 히스토리,True
7fa75d22,2026-08-07,서흥,매수,1.0,23400.0,,초기 히스토리,True
f6254122,2026-08-07,롯데웰푸드,매도,1.0,112500.0,10475.0,초기 히스토리,True
6b78d13e,2026-08-07,NAVER,매수,1.0,209000.0,,초기 히스토리,True
0698d8d6,2026-08-07,아이센스,매수,4.0,18290.0,,초기 히스토리,True
209938e8,2026-08-10,GS리테일,매수,2.0,27200.0,,초기 히스토리,True
6414a501,2026-08-10,미스토홀딩스,매수,1.0,43850.0,,초기 히스토리,True
ad06a62d,2026-08-10,동서,매수,1.0,26300.0,,초기 히스토리,True
fabd44cb,2026-08-10,성광벤드,매수,1.0,28250.0,,초기 히스토리,True
4007eeb5,2026-08-10,HMM,매수,5.0,21350.0,,초기 히스토리,True
96df02d5,2026-08-10,대하화섬,매수,2.0,26650.0,,초기 히스토리,True
e3ef3efd,2026-08-10,대한항공,매수,2.0,26650.0,,초기 히스토리,True
76aff03c,2026-08-10,메리츠금융지주,매수,1.0,122600.0,,초기 히스토리,True
9fd7443f,2026-08-10,한국가스공사,매수,1.0,35100.0,,초기 히스토리,True
2f8ac7e3,2026-08-10,CJ제일제당,매도,1.0,204500.0,10191.0,초기 히스토리,True
78b320c3,2026-08-10,JYP Ent.,매수,3.0,47400.0,,초기 히스토리,True
aab323cc,2026-08-10,KCC글라스,매도,1.0,25400.0,2699.2,초기 히스토리,True
f1cf8f32,2026-08-10,KCC글라스,매도,2.0,25400.0,5398.4,초기 히스토리,True
48b14c01,2026-08-10,CJ대한통운,매수,1.0,77900.0,,초기 히스토리,True
606d7372,2026-08-10,아세아제지,매수,2.0,8060.0,,초기 히스토리,True
1458c4d8,2026-08-10,컴투스홀딩스,매수,5.0,12770.0,,초기 히스토리,True
2ff23c89,2026-08-10,동진쎄미켐,매수,1.0,41800.0,,초기 히스토리,True
59a9bd51,2026-08-10,영원무역,매수,2.0,89500.0,,초기 히스토리,True
902991ba,2026-08-10,삼립,매수,1.0,40900.0,,초기 히스토리,True
51c250d2,2026-08-10,원익홀딩스,매도,2.0,20450.0,3990.2,초기 히스토리,True
1bf47c5a,2026-08-10,대하화섬,매수,1.0,26550.0,,초기 히스토리,True
4b9265b3,2026-08-10,대한항공,매수,1.0,26550.0,,초기 히스토리,True
ff31b480,2026-08-10,CJ제일제당,매수,1.0,204500.0,,초기 히스토리,True
93e986d7,2026-08-10,신세계인터내셔날,매수,7.0,11570.0,,초기 히스토리,True
f2b42ef1,2026-08-10,원익홀딩스,매도,1.0,20500.0,2045.0,초기 히스토리,True
ae130bba,2026-08-10,서흥,매도,1.0,27750.0,4294.5,초기 히스토리,True
a0f0b4e7,2026-08-10,성광벤드,매도,1.0,28500.0,1805.5,초기 히스토리,True
bfef5ed5,2026-08-10,KCC글라스,매수,1.0,25800.0,,초기 히스토리,True
8ac8fa02,2026-08-10,KCC글라스,매수,1.0,25800.0,,초기 히스토리,True
c4fda9ed,2026-08-10,월덱스,매수,1.0,29150.0,,초기 히스토리,True
19d1b0ba,2026-08-10,삼립,매수,1.0,40450.0,,초기 히스토리,True
8fb9237c,2026-08-10,현대리바트,매수,15.0,5890.0,,초기 히스토리,True
a7f480c3,2026-08-10,동국제강,매수,1.0,9810.0,,초기 히스토리,True
b8a85c88,2026-08-10,동국제강,매수,1.0,9810.0,,초기 히스토리,True
b0a8eab6,2026-08-10,동국제강,매수,5.0,9810.0,,초기 히스토리,True
307f3fa6,2026-08-10,GS리테일,매도,1.0,28550.0,2972.9,초기 히스토리,True
5e1c085a,2026-08-10,원익홀딩스,매도,1.0,20550.0,2094.9,초기 히스토리,True
90d1a374,2026-08-10,삼성중공업,매도,2.0,22500.0,2410.0,초기 히스토리,True
971c7eb8,2026-08-10,컴투스홀딩스,매수,1.0,12560.0,,초기 히스토리,True
e03581c7,2026-08-10,우리금융지주,매수,1.0,33550.0,,초기 히스토리,True
551ddc89,2026-08-10,에코플라스틱,매수,25.0,2005.0,,초기 히스토리,True
0ee4ea40,2026-08-10,삼양패키징,매수,5.0,9770.0,,초기 히스토리,True
6d6d162d,2026-08-10,HK이노엔,매도,1.0,42450.0,3465.1,초기 히스토리,True
4bf545e2,2026-08-10,코스맥스,매도,1.0,203500.0,7493.0,초기 히스토리,True
37493219,2026-08-10,화승코퍼레이션,매수,30.0,2775.0,,초기 히스토리,True
70c1d221,2026-08-10,한국콜마,매수,1.0,105600.0,,초기 히스토리,True
25e93d36,2026-08-11,GS리테일,매도,1.0,28400.0,2823.2,초기 히스토리,True
b167931d,2026-08-11,동서,매도,1.0,26750.0,1313.1666666666679,초기 히스토리,True
8ea2b801,2026-08-11,동서,매도,1.0,26750.0,1313.1666666666679,초기 히스토리,True
64d70901,2026-08-11,DL이앤씨,매도,1.0,74400.0,4551.2,초기 히스토리,True
