종목명,종목코드
농심,004370
서흥,008490
CJ제일제당,097950
코스맥스,192820
DL,000210
롯데웰푸드,280360
오리온,271560
삼성바이오로직스,207940
골프존,215000
대한항공,003490
CJ프레시웨이,051500
사조대림,003960
에스티팜,237690
GS리테일,007070
아세아제지,002310
종근당,185750
빙그레,005180
동아쏘시오홀딩스,000640
KCC글라스,344820
티와이홀딩스,363280
CJ대한통운,000120
종근당홀딩스,001630
아이센스,099190
AJ네트웍스,095570
HK이노엔,195940
대한화섬,003830
유한양행,000100
제이브이엠,054950
에스앤디,260970
NAVER,035420
와이지엔터테인먼트,122870
더네이쳐홀딩스,298540
삼립,005610
SGC에너지,005090
오스테오닉,226400
LS,006260
SK가스,018670
OCI홀딩스,010060
엘앤씨바이오,290650
미원상사,002840
영원무역홀딩스,009970
씨에스윈드,112610
바텍,043150
사조산업,007160
카카오,035720
쿠쿠홈시스,284740
금강공업,014280
SBS,034120
영원무역,111770
유나이티드제약,033270
현대리바트,079430
이마트,139480
세아홀딩스,058650
샘표식품,248170
E1,017940
월덱스,101160
실리콘투,257720
아모레퍼시픽,090430
파라다이스,034230
대한약품,023910
카카오뱅크,323410
한국단자,025540
셀비온,308430
샘표,007540
매일유업,267980
한일시멘트,300720
오로스테크놀로지,322310
크라운제과,264900
네오팜,092730
JW생명과학,234080
진에어,272450
성광벤드,014620
SK,034730
다우기술,023590
롯데칠성,005300
엘오티베큠,083310
대신증권,003540
엠에스씨,009780
삼성SDI,006400
태광,023160
동진쎄미켐,005290
정다운,208140
삼양패키징,272550
서진시스템,178320
OCI,456040
한세실업,105630
파마리서치,214450
조광페인트,004910
코오롱인더,120110
씨티케이,260930
KT밀리의서재,418470
삼양케이씨아이,036670
NC,036570
우양,103840
디케이락,105740
신대양제지,016590
삼목에스폼,018310
아이디스,143160
해태제과식품,101530
삼보판지,023600
라온로보틱스,232680
DMS,068790
대한전선,001440
NI스틸,008260
DL이앤씨우,37550K
현대백화점,069960
다우데이타,032190
현대이지웰,090850
매커스,093520
제일테크노스,038010
선진,136490
NICE인프라,063570
카카오게임즈,293490
태영건설,009410
하나금융지주,086790
우리금융지주,316140
한국콜마,161890
심텍,222800
한국수출포장,002200
한독,002390
국보디자인,066620
IPARK현대산업개발,294870
한국자산신탁,123890
원익QnC,074600
한국공항,005430
코오롱티슈진,950160
SK텔레콤,017670
F&F,383220
TKG휴켐스,069260
KSS해운,044450
노바렉스,194700
한국가구,004590
예스티,122640
에스엘,005850
인바디,041830
제이앤티씨,204270
ESR켄달스퀘어리츠,365550
블랙야크아이앤씨,478560
제이에스링크,127120
비츠로셀,082920
토모큐브,475960
케이씨,029460
와이지-원,019210
앱클론,174900
인투셀,287840
코메론,049430
케이엠더블유,032500
아스테라시스,450950
세진중공업,075580
위닉스,044340
벽산,007210
화승인더,006060
골프존홀딩스,121440
미스토홀딩스,081660
메리츠금융지주,138040
JYP Ent.,035900
신세계인터내셔날,031430
한샘,009240
삼성중공업,010140
동서,026960
마녀공장,439090
계룡건설,013580
크라운해태홀딩스,005740
풀무원,017810
하림,136480
CJ,001040
삼성전자,005930
씨앤씨인터내셔널,352480
동국제강,460860
광동제약,009290
신도리코,029530
원익홀딩스,030530
GS건설,006360
롯데쇼핑,023530
두산에너빌리티,034020
대상,001680
카페24,042000
